,ids,text,times,screen_names,names,hashtag1,hashtag2,hashtag3,url1,url2,url3,in reply to screen name,in reply to user id,in reply to status id,statuses count,friends count,followers count,lang of the account,location of the account
0,874686185381085184,"Soirée VIP du salon des entrepreneurs 
#velvetprairie #sde2017 #entrepreneur #lyon #creer… https://t.co/zUO3rQFMJk",Tue Jun 13 17:53:32 +0000 2017,VelvetPrairie,Velvet Prairie,velvetprairie,sde2017,entrepreneur,https://www.instagram.com/p/BVSfFmahdS8/,,,,,,60,67,12,fr,Lyon
1,874686187595853824,RT @leprogreslyon: Un #gofast intercepté près de #Lyon 500 kg de #cannabis saisis https://t.co/2igdejW4ys https://t.co/0QdDoWRNpp,Tue Jun 13 17:53:32 +0000 2017,lacancalaise,lacancalaise,gofast,Lyon,cannabis,http://c.leprogres.fr/rhone/2017/06/13/un-go-fast-intercepte-pres-de-lyon-500-kg-de-cannabis-saisis,,,,,,30987,1182,832,fr,A (la) me(è)r(e)
2,874686242880970754,RT @saladelyonnaise: Législatives : ces candidats macronistes qui refusent de débattre à #Lyon et dans le Rhône https://t.co/a05IxSvaS3… ,Tue Jun 13 17:53:45 +0000 2017,LaurentAspis,Laurent Aspis,Lyon,,,https://saladelyonnaise.com/article/legislatives-macronistes-refusent-de-debattre,,,,,,45965,831,963,fr,entre Nancy et Lyon
3,874686258454331393,"RT @DamienLGphoto: 📷

📍@ParcOL 

Retour sur la venue de @coldplay au Parc OLYMPIQUE LYONNAIS

#Coldplay #Lyon #ParcOL https://t.co/RGmyqUpg…",Tue Jun 13 17:53:49 +0000 2017,Badgone82,chris69,Coldplay,Lyon,ParcOL,,,,,,,67139,264,738,fr,
4,874686265018417152,Comment Lyon invente la ville du futur https://t.co/cuNbLPvgyC,Tue Jun 13 17:53:51 +0000 2017,BussardDaniel,Un Citoyen En Marche,,,,http://www.capital.fr/economie-politique/comment-lyon-invente-la-ville-du-futur-1232177,,,,,,7267,3048,2240,fr,Île-de-France
5,874686279178387460,"RT @berth_antoine: Expulsion en cours du @bastion_social à Lyon, bâtiment abandonné transformé en centre social populaire.

https://t.co/9Z…",Tue Jun 13 17:53:54 +0000 2017,ChBouchet,Christian Bouchet,,,,,,,,,,15512,780,2425,fr,
6,874686294647070722,@hitlergazmoi @Yanisslebg @DEITYCHAE Lyon Marseille c à côté,Tue Jun 13 17:53:58 +0000 2017,Yanisslebg,L'unique Yaniss,,,,,,,hitlergazmoi,763698917087318016,874686160634884098,17733,498,374,fr,"Marseille, Provence-Alpes-Côte"
7,874686385684459526,"RT @MonsieurUnited: Vous vous souvenez quand on a tous ri lorsque Stéphane Guy avait dit: ""Il manque un Tolisso dans le milieu du Bayer… ",Tue Jun 13 17:54:19 +0000 2017,AliSomaalieen,Mike,,,,,,,,,,19627,636,288,fr,Bruxelles
8,874686393947226113,@Asso_SaDur @RERD_SNCF Paris Lyon 19h00 Montgeron 19h45 suite suppression d'un ZICO. Merci de me décompter des stats de voyageurs à l'heure.,Tue Jun 13 17:54:21 +0000 2017,t_n_a_r_o_l,T Narol,,,,,,,Asso_SaDur,410564078,,66,23,6,fr,
9,874686411852697600,"J'aime une vidéo @YouTube : ""Appartement T2 40m2 Lyon 1er"" à l'adresse https://t.co/7LwO6BNr1J.",Tue Jun 13 17:54:26 +0000 2017,t_balsamo,Tony Balsamo,,,,http://youtu.be/qYw_EpNhUFs?a,,,,,,59,6,6,fr,
10,874686419729514496,RT @EnMarcheLyon: Que les choses soient dites : nous ne rejetons pas le débat. Preuve : @BrunoBonnellOff est dans quelques minutes su… ,Tue Jun 13 17:54:28 +0000 2017,jcn95290,jcn95290,,,,,,,,,,13453,2306,637,fr,95290
