,ids,text,times,screen_names,user id,names,hashtag1,hashtag2,hashtag3,url1,url2,url3,in reply to screen name,in reply to user id,in reply to status id,statuses count,friends count,followers count,lang of the account,location of the account
0,874705936648200193,@LeClownmlg Apres je suis pas totalement sur lyon a 10min mais d’où apres une journée comme sa y’a cette putain d’orage,Tue Jun 13 19:12:01 +0000 2017,TwitekOffi,2349466174,Twitek®,,,,,,,LeClownmlg,3077035157,874705777906380805,10546,678,689,fr,Subs: 1853
1,874707495847112705,"Tout le monde me parle de l'orage sur Lyon. Rien entendu. Soit j'ai perdu l'ouie, soit j'étais vraiment concentrée sur mon épisode 🤔",Tue Jun 13 19:18:12 +0000 2017,_dellelicious,314195871,Mylène 🍕,,,,,,,,,,41356,1158,2908,en,Lyon - France
2,874707790144655361,"À Lyon, dans la presqu’île, la magnifique mue de l’Hôtel-Dieu https://t.co/UyAbzEtC7S",Tue Jun 13 19:19:23 +0000 2017,GaspardRousseau,1298730000,Immo & Finance,,,,http://snip.ly/eraf4,,,,,,14340,14366,19346,fr,
3,874708932413018116,RT @TeamGrandeFR: Les photos des M&amp;G de Paris et Lyon devraient sortir d'ici deux semaines (à compter de la date des concerts),Tue Jun 13 19:23:55 +0000 2017,gbs4444,719890001299968001,Gbs4444,,,,,,,,,,38094,5020,1634,fr,
4,874708953963343872,RT @ElliottAubin: Un grand merci à toi @BertrandArtigny . Ton soutien sera tres important pour ce second tour ! #Circo6901 #Lyon https://t.…,Tue Jun 13 19:24:00 +0000 2017,FleurAvr,457043515,Tzvet Avr,Circo6901,Lyon,,,,,,,,98966,4138,1500,fr,Paris
5,874708959793487872,RT @TeamGrandeFR: Les photos des M&amp;G de Paris et Lyon devraient sortir d'ici deux semaines (à compter de la date des concerts),Tue Jun 13 19:24:01 +0000 2017,Arifaans,4549436963,kiss😭,,,,,,,,,,8119,297,552,fr,
6,874708969666859008,#lapaisélive Je te suis depuis bientôt 2 ans et javais adoré ta vidéo sur Lyon donc pourquoi pas une vidéo ASMR sur une autre ville ? 😉,Tue Jun 13 19:24:04 +0000 2017,aloiisk,747467814328504320,👉 Aloïs 👈,lapaisélive,,,,,,,,,2301,984,170,fr,Où suis - je ?
7,874708979506700289,RT @116000FRANCE: Sofia a disparu depuis le mardi 6 juin. Elle a été vue pour la dernière fois rue Debourg à Lyon #RetrouvonsLes… ,Tue Jun 13 19:24:06 +0000 2017,lamascotte1,616422105,lamascotte,RetrouvonsLes,,,,,,,,,67174,1019,1004,fr,
8,874708986687311873,"RT @poxxk: @lobs Des précisions à propos de #BrunoBonnell, candidat #LREM dans le #Rhône, accusé d'optimisation fiscale… ",Tue Jun 13 19:24:08 +0000 2017,claude_godin,493400724,godin claude,BrunoBonnell,LREM,Rhône,,,,,,,32756,869,484,fr,paris 
9,874709005037383681,"RT @poxxk: Un autre article : #BrunoBonnell, candidat En Marche! au paradis… fiscal   https://t.co/2zXIZstdCN",Tue Jun 13 19:24:12 +0000 2017,claude_godin,493400724,godin claude,BrunoBonnell,,,https://www.mediacites.fr/lyon/2017/06/06/bruno-bonnell-un-candidat-en-marche-au-paradis-fiscal/,,,,,,32757,869,484,fr,paris 
10,874709079259836416,RT @FootLyon_com: #OL Mercato OL : l'arrivée de Traoré bientôt officialisée ? - https://t.co/NTdKEmrJQ8 #TeamOL https://t.co/JU1dnPN36g,Tue Jun 13 19:24:30 +0000 2017,ebcct3,405809187,Jalletinho ﺕ,OL,TeamOL,,https://www.foot-lyon.com/mercato-ol-larrive-de-traor-bientt-officialise/,,,,,,2112,57,42,en,"Lyon, France"
11,874709089976279044,RT @TeamGrandeFR: #VIDEO Ariana performant Bad Decisions à la Halle Tony Garnier à Lyon le 09/06 via @happyforgrande https://t.co/aErmB3RUNs,Tue Jun 13 19:24:33 +0000 2017,winchftjosh,2350675802,leo 🌿,VIDEO,,,,,,,,,61676,1497,1015,fr,
12,874709090873872384,quand je vois ma cops de Lyon manger maintenant 😭,Tue Jun 13 19:24:33 +0000 2017,thenastycam,1029588362,Caminès,,,,,,,,,,92527,174,1370,fr,
13,874709121219649537,"RT @20Fleur17: 🍃🌸🍃
┋┋┋
🍃💜🍃
┋┋╰┉➢🔵 Lyon 
┋╰┉➢⚪️ France 
╰┉➢🔴 Belle soirée à toutes et tous 🍃🌸 https://t.co/upWmHxdVfG",Tue Jun 13 19:24:40 +0000 2017,man14_14,2415849590,قلبك دليلك,,,,,,,,,,448575,13236,12165,ar,
14,874709128958140419,RT @116000FRANCE: Sofia a disparu depuis le mardi 6 juin. Elle a été vue pour la dernière fois rue Debourg à Lyon #RetrouvonsLes… ,Tue Jun 13 19:24:42 +0000 2017,PMortagne,2949831903,pierre mortagne,RetrouvonsLes,,,,,,,,,14339,1025,611,fr, 
15,874709134540775425,RT @TeamGrandeFR: Les photos des M&amp;G de Paris et Lyon devraient sortir d'ici deux semaines (à compter de la date des concerts),Tue Jun 13 19:24:43 +0000 2017,osnapitzharold,353335406,נעמי,,,,,,,,,,128130,455,1364,fr,honeymoon ãve.
16,874709145932505094,RT @ColdplayFrance: Superbe photo du @ParcOL 😍 #ColdplayLyon 🇫🇷 @coldplay #AHFODtour https://t.co/tizLy5SX5i,Tue Jun 13 19:24:46 +0000 2017,o69_steve,483020947,Steve-o69,ColdplayLyon,AHFODtour,,https://twitter.com/damienlgphoto/status/874688924324646912,,,,,,1468,614,70,fr,lyon
17,874709150600757249,RT @TeamGrandeFR: #VIDEO Ariana performant Into You à la Halle Tony Garnier à Lyon le 09/06 via @NawfelAz https://t.co/T5db2psShF,Tue Jun 13 19:24:47 +0000 2017,benjiji33,585072286,bac is lava,VIDEO,,,,,,,,,2242,924,204,fr,
18,874709156481179648,RT @FCBayern_France: Le FC Bayern en négociations très avancées avec Lyon pour Corentin Tolisso (22). Transfert : 35M + 15M (bonus). [Ki… ,Tue Jun 13 19:24:48 +0000 2017,Roldah13,476666746,✨Spice Boy ✨,,,,,,,,,,227453,120,1088,fr,République populaire de Chine
19,874709161875054593,RT @TeamGrandeFR: #VIDEO Ariana performant Let Me Love You à la Halle Tony Garnier à Lyon le 09/06 via @happyforgrande https://t.co/Wg0cOy8…,Tue Jun 13 19:24:50 +0000 2017,winchftjosh,2350675802,leo 🌿,VIDEO,,,,,,,,,61677,1497,1015,fr,
20,874709221497081856,RT @HabitatetHumani: Début des travaux de rénovation de 20 appartements ce matin à #Lyon ! Merci à nos partenaires @FondationSNCF et Fon… ,Tue Jun 13 19:25:04 +0000 2017,Soeur_Malgosia,2698228184,N.D. de Bon Secours,Lyon,,,,,,,,,14303,79,121,fr,
21,874709243714318337,C'est horrible ... j'aurais t'en aimer venir vous voir à Lyon samedi @Lolywood 😭 mais je ne peu pas ... j'espère pouvoir vous voir un jours😭,Tue Jun 13 19:25:09 +0000 2017,MMixem,797910186249822213,MaxiMixem,,,,,,,,,,159,123,34,fr,
22,874709250462937089,"RT @immo_locatif: À Lyon, dans la presqu’île, la magnifique mue de l’Hôtel-Dieu https://t.co/jWXtQRbf65 #Immobilier",Tue Jun 13 19:25:11 +0000 2017,lane_lha,3645252268,L. HA,Immobilier,,,http://snip.ly/eraf4,,,,,,2263,263,129,fr,"Lyon, Rhône-Alpes"
23,874709255823273991,RT @FCBayern_France: Le FC Bayern en négociations très avancées avec Lyon pour Corentin Tolisso (22). Transfert : 35M + 15M (bonus). [Ki… ,Tue Jun 13 19:25:12 +0000 2017,Tjamat_,2356480533,Tjamat,,,,,,,,,,2537,260,31,fr,
24,874709294880567296,RT @leprogreslyon: Un #gofast intercepté près de #Lyon 500 kg de #cannabis saisis https://t.co/2igdejW4ys https://t.co/0QdDoWRNpp,Tue Jun 13 19:25:21 +0000 2017,elmagnificagirl,729257217258590208,Bad Girl,gofast,Lyon,cannabis,http://c.leprogres.fr/rhone/2017/06/13/un-go-fast-intercepte-pres-de-lyon-500-kg-de-cannabis-saisis,,,,,,13312,130,79,en,
25,874709330813227008,RT @TeamGrandeFR: #VIDEO Ariana performant Let Me Love You à la Halle Tony Garnier à Lyon le 09/06 via @happyforgrande https://t.co/7bSxUkp…,Tue Jun 13 19:25:30 +0000 2017,winchftjosh,2350675802,leo 🌿,VIDEO,,,,,,,,,61678,1497,1015,fr,
26,874709339596099584,"@Platypusmile_ Sinon, la semaine du 21 ! Et clairement, Lyon-Suisse c'est le plus simple. On fait un saut chez @Yeuhl et ensuite, my home",Tue Jun 13 19:25:32 +0000 2017,SwissLittleGirl,2921164107,Naomi S.,,,,,,,Platypusmile_,184546752,874708838011854849,1690,167,961,fr,
27,874709349897310208,RT @116000FRANCE: Sofia a disparu depuis le mardi 6 juin. Elle a été vue pour la dernière fois rue Debourg à Lyon #RetrouvonsLes… ,Tue Jun 13 19:25:34 +0000 2017,lolishbrone,299837313,Lolish Brone,RetrouvonsLes,,,,,,,,,39385,617,564,fr,"Lyon, France"
28,874709354460712961,RT @TeamGrandeFR: #VIDEO Ariana performant Knew Better Part 2 à la Halle Tony Garnier à Lyon le 09/06 via @happyforgrande https://t.co/FjTy…,Tue Jun 13 19:25:36 +0000 2017,winchftjosh,2350675802,leo 🌿,VIDEO,,,,,,,,,61679,1497,1015,fr,
29,874709387121766400,RT @actupparis: .@enmarchefr entend s'inviter aux marches des Fiertés mais y a-t-il de quoi être fièrEs de la façon dt les parcours… ,Tue Jun 13 19:25:43 +0000 2017,SoftnBeamy,2192828095,clatchet,,,,,,,,,,41038,141,82,fr,"Paris, France"
30,874709396797960192,"Et la @CotedorTourisme #Bourgogne, on en parle ? C’est à côté de #Lyon et je n’y suis jamais allée.😫 Bèze a l’air si mignon #VillagePrefere",Tue Jun 13 19:25:46 +0000 2017,petits_carnets,2865627130,Tiphaine MPC ✈️,Bourgogne,Lyon,VillagePrefere,,,,,,,12930,996,1589,fr,"Lyon, France"
31,874709415898820608,@tbydua @soonbae_ dès que vs l'avez vs me dites 😘 https://t.co/t4vhrktEst,Tue Jun 13 19:25:50 +0000 2017,nico_hmr,3436005749,NICO,,,,https://twitter.com/teamgrandefr/status/874708629655572480,,,tbydua,3429818026,,8605,1826,812,fr,
32,874709443371577344,RT @116000FRANCE: Sofia a disparu depuis le mardi 6 juin. Elle a été vue pour la dernière fois rue Debourg à Lyon #RetrouvonsLes… ,Tue Jun 13 19:25:57 +0000 2017,stefmoisson,770755524711309312,MOISSONstéphane,RetrouvonsLes,,,,,,,,,4063,51,33,fr,"Bourgoin-Jallieu, ISERE"
33,874709499231301633,RT @TeamGrandeFR: Les photos des M&amp;G de Paris et Lyon devraient sortir d'ici deux semaines (à compter de la date des concerts),Tue Jun 13 19:26:10 +0000 2017,blessgodbieber,3869937059,ㅤana  ㅤi saw ariana,,,,,,,,,,98144,2079,2113,fr,lucie    lara    sarah    sara
