,screen names,names,user id,statuses count,friends count,followers count,number of tweets
35,louabl,Greg,3031658779,120,24,11,23
10,winchftjosh,Jalletinho ?,405809187,2112,57,42,13
59,tetunicois,lou,764203865520627712,4173,448,207,2
97,leprogreslyon,Cougar_JESSICA,3253410161,3460,9834,17926,2
152,DayGautier,Youss',1631039400,69655,376,9588,2
65,Drek_BG18,king met ariana,3429818026,13593,423,1067,2
8,claude_godin,godin claude,493400724,32756,869,484,2
63,sandrinewyork,Caramelo,2338575446,16652,293,429,2
79,victorchrls,flo,784460686491541504,592,108,69,2
123,RphLsz,Chevalier Frugume,2451580688,10046,121,1301,1
119,JoueurYoutube,AlKanzSalat (b?ta),3142907949,8254,0,1131,1
120,pelfort_deux,leo ?,2350675802,61683,1497,1015,1
121,Samir_You93,Black Mamba,1525407260,93845,841,1025,1
122,Anteverce,NEUER,4602901821,3247,365,212,1
0,TwitekOffi,Twitek?,2349466174,10546,678,689,1
124,NiinoAulnay,LaetiByLety,529336272,194,69,11,1
117,nwitha94,Philippe DouxLaplace,212144856,47748,972,2141,1
125,ToXiiKzZ59,T?tuni?ois,464502436,178036,2349,2706,1
126,hugolisandro69,le shah noir,2973147959,17874,506,667,1
127,007CommeMon69,paulo??,4106298419,6297,710,400,1
128,35Vince,Clara Ch?n?,3163301505,3527,48,57,1
129,toutiOuistiti,Le Progr?s de Lyon,2787690325,5549,519,6665,1
130,ElVareno,OMehdi ????,556403986,92338,3011,3751,1
131,dep_yoann,Lylian Casier,1281516720,2187,598,135,1
132,Aurelihihi,Helofluffy2,871337066726117376,1616,194,91,1
118,crapiz_,jferri,3121762108,5187,407,394,1
115,enzoramos4_,???????,906482784,21459,406,517,1
116,LaurineCoutenay,Julien Martinez,80603850,2404,1994,1624,1
105,riverphoenix_93,paul ? ??,3434399176,18644,1396,1847,1
96,petitecarrotte,Aleex ??,576607242,7185,104,116,1
98,Mehdi_du_72,Ju ??,2368843522,24581,290,6337,1
99,casier_l,?? J?r?m' ??,770571210799341568,5589,441,162,1
100,fluffyqueer2,Arnaud,2472392167,42173,2046,650,1
101,GellenoncourtA,leo ?,2350675802,61682,1497,1015,1
102,Makavelive,- ??chlo?  ??-,135616021,25314,432,386,1
103,ChFana,.?,606211945,31419,92,278,1
104,SpeedyBlack87,djouadi,779026425198350336,7320,93,135,1
106,boccadileone49,Chambssy,423368263,117470,1051,1115,1
134,bcnines,Na Lo?ck Kitoko,4888184632,6056,75,76,1
107,alexiahfod,Goleador??,4601932156,6821,1161,478,1
108,manobaffie,vic,3022134322,10449,516,272,1
109,nbjlt,Nathalie,842099874774581253,790,93,25,1
110,_emelinee5,Sarah,743852792,93562,679,1010,1
111,BARNOLETHIERRY,sandrinewyork,768099430507638784,1753,330,35,1
112,FekirNabilon69,??,456571499,67921,351,1046,1
113,rodenmoonlight,st.horace,572720030,26194,57,363,1
114,VoisinesSolo,Th?o Cqr,1153999417,332,104,221,1
133,IdrisSixNeuf,?? IAN ??,1209983017,1767,131,65,1
137,Sremoh_,?,2492717886,42342,830,1673,1
135,AR_Zanpakto10,Fana Ch?,572783901,12754,398,535,1
136,tiffanyb69,Riczer,2844662792,49285,398,655,1
160,dackqal,?genesiOUT??,434357778,43765,3125,1196,1
161,Johnkenzo1,alex,763133137270476800,3151,178,112,1
162,leotescher,galli,1337369257,71497,173,725,1
163,ArdrB,Ti Ouistiti,1085678095,48877,5439,5738,1
164,helene_89000,Modri?.,1898355409,70311,315,327,1
165,epiceriemoderne,Yoann Dep,910151742,58759,3811,1772,1
166,LESKY07_BBG,vic,3022134322,10450,516,272,1
167,Denis_Sestier,AurelieA,269714811,4389,330,69,1
168,fanzoneOL,LY69N?,1854725000,11259,655,1233,1
169,Lucas_Dmas,messiniesta,442316053,23690,127,482,1
170,EleniFerlet,Amateratsu,3131364935,20204,215,383,1
171,fekiiiir,Tiffany,2446810503,44516,278,1004,1
172,jules_chps,SHADES ?,1154071088,88494,686,958,1
173,Blip_Bloup,Romain j. Garcier ?,3032685045,2280,416,426,1
174,SierraNevada32,Melianaa,831741347556184066,7203,257,96,1
175,Lmick59,pipo,1006642434,38465,402,1176,1
176,HugoAndrx,La pulga,735163732008042497,4167,233,303,1
177,LeEvariste,sebur,58577880,223,55,7,1
178,chuspitoo,Lio,508066830,17859,284,300,1
159,kaizo118,ToXiiKoMan,2605895299,2228,76,30,1
158,FlorianRodri,#OPP,377589690,80764,63,506,1
157,EquipeLyonnais,?var,3362810747,68271,94,247,1
145,FootLyon_com,milena saw ariana,4032267431,17166,209,716,1
94,veryhamdullah,Julien lacafekir,4376305821,15256,945,160,1
138,rjgarcier,Bocca di Leone,361355953,72638,499,1088,1
139,Melianaa9,g vu Coldplay bordel,2620478729,4725,109,142,1
140,ClementDtrl,mano baffie riou,3304144631,12109,73,36,1
141,VincentGuilbert,Nolwenn,860871541340471296,139,508,139,1
142,useb1976,bibi,2688390085,31735,135,565,1
143,LioPetro78,BARNOLE THIERRY,953678288,1481,340,203,1
144,camillepchn,Stats Foot,778118551,60511,475,6531,1
146,copea_,Voisines Solitaires,710831151292743680,16543,9234,8955,1
156,ColinAmandine,Kin K.,318287868,49283,230,1455,1
147,iamrpy_,Le Progr?s de Lyon,2787690325,5550,519,6665,1
148,ZazaCityBlue,DUODECIMA,768754673629138945,15427,205,185,1
149,WARRIORIIArWe,Laurine Coutenay,845946727,32464,574,1590,1
150,Merivan_91,Propre&SansBavure ?,1564517636,59282,338,997,1
151,calindauphin,dodo,1412343793,26137,142,182,1
153,Rouqui2,Archiduc Pelfort II,862026273165635585,2150,62,100,1
154,TonJusticier,Rimsa,1671452646,7085,127,233,1
155,call_me_laana,leo ?,2350675802,61684,1497,1015,1
95,pauloooo7,ASD.,250216214,2443,933,86,1
90,SmallHawkeye,Emma,870203551104077825,49,27,20,1
93,LetyBouedec,?? D.R.E.K ??,772860666172563456,15463,339,164,1
34,FranceaMontreal,News BreaK,600639942,67559,4750,19701,1
26,petits_carnets,Naomi S.,2921164107,1690,167,961,1
27,nico_hmr,Lolish Brone,299837313,39385,617,564,1
28,stefmoisson,leo ?,2350675802,61679,1497,1015,1
29,blessgodbieber,clatchet,2192828095,41038,141,82,1
30,NewsBKFrance,Tiphaine MPC ??,2865627130,12930,996,1589,1
31,GregBaracat,NICO,3436005749,8605,1826,812,1
32,RomainBurrel,MOISSONst?phane,770755524711309312,4063,51,33,1
33,Love_Ari_23,?ana  ?i saw ariana,3869937059,98144,2079,2113,1
36,Bouchetavocat,Romain Burrel,17203861,44805,1295,10803,1
24,lolishbrone,Bad Girl,729257217258590208,13312,130,79,1
37,karakryptn,?I MET ARIANA?,759513410845417476,9653,598,787,1
38,B_Soulard,La France ? Montr?al,73892470,6558,200,3655,1
39,AnatoleGasnot,lou,764203865520627712,4156,448,207,1
40,tbydua,Florence Bouchet,1314321530,416,299,64,1
41,chlotsk,lou,764203865520627712,4157,448,207,1
42,math_srcz,Lab Lady,3180536105,27006,399,321,1
43,Sid_focus,lou,764203865520627712,4158,448,207,1
44,ParisWalkWays,lou,764203865520627712,4159,448,207,1
25,SoftnBeamy,leo ?,2350675802,61678,1497,1015,1
23,SwissLittleGirl,Tjamat,2356480533,2537,260,31,1
92,ChinoisSournois,? #bonplan#soldes ?,164355782,302278,190,10020,1
12,man14_14,Camin?s,1029588362,92527,174,1370,1
2,GaspardRousseau,Immo & Finance,1298730000,14340,14366,19346,1
3,gbs4444,Gbs4444,719890001299968001,38094,5020,1634,1
4,FleurAvr,Tzvet Avr,457043515,98966,4138,1500,1
5,Arifaans,kiss?,4549436963,8119,297,552,1
6,aloiisk,? Alo?s ?,747467814328504320,2301,984,170,1
7,lamascotte1,lamascotte,616422105,67174,1019,1004,1
9,ebcct3,godin claude,493400724,32757,869,484,1
11,thenastycam,leo ?,2350675802,61676,1497,1015,1
13,PMortagne,???? ?????,2415849590,448575,13236,12165,1
22,elmagnificagirl,L. HA,3645252268,2263,263,129,1
14,osnapitzharold,pierre mortagne,2949831903,14339,1025,611,1
15,o69_steve,????,353335406,128130,455,1364,1
16,benjiji33,Steve-o69,483020947,1468,614,70,1
17,Roldah13,bac is lava,585072286,2242,924,204,1
18,Soeur_Malgosia,?Spice Boy ?,476666746,227453,120,1088,1
19,MMixem,leo ?,2350675802,61677,1497,1015,1
20,lane_lha,N.D. de Bon Secours,2698228184,14303,79,121,1
21,Tjamat_,MaxiMixem,797910186249822213,159,123,34,1
45,AlexBar_4,lou,764203865520627712,4160,448,207,1
46,Vinkencule,lou,764203865520627712,4161,448,207,1
47,Quentin__79,lou,764203865520627712,4162,448,207,1
82,_kxvin__,Ross??,2681939805,114102,1209,18327,1
73,rip2myissues,??????????,4805229855,10421,132,207,1
74,Gio93IV,Vinke.,1386463393,124781,232,907,1
75,djouadi_t,Quentos,1465430017,1743,244,92,1
76,paul_dehedin,Valentin,763345494,7349,94,127,1
77,Chambssy,LuisCampos_Monaco,2984141331,266742,90,548,1
78,anthodu69250,Cam ?,585588046,71035,266,1493,1
80,Dubois7N,??????,2743647549,14549,442,391,1
81,sarahbldj,?thologie Le 23 Juin,266205394,145307,298,1443,1
83,HoraceAngel,Tolisso,1053736226,8631,607,403,1
48,valentin732,lou,764203865520627712,4163,448,207,1
84,TheoLeLyonnais,Um?t ????,987003295,1958,256,157,1
85,3456_ID_3596,batsu,1703463319,33058,820,616,1
